Index,Score,max_features,min_samples_leaf,n_estimators
0,-0.5481283422459893,2,0,110.0
1,-0.5718360071301247,1,1,230.0
2,-0.5655971479500892,1,3,220.0
3,-0.5591800356506239,1,3,260.0
4,-0.5536541889483065,3,2,230.0
5,-0.5716577540106952,5,2,270.0
6,-0.5655971479500892,0,2,290.0
7,-0.5595365418894831,2,1,210.0
8,-0.5543672014260249,5,0,130.0
9,-0.5479500891265597,0,1,160.0
10,-0.5900178253119429,5,0,80.0
11,-0.5540106951871657,7,1,210.0
12,-0.5711229946524065,3,3,250.0
13,-0.5841354723707665,3,1,100.0
14,-0.5361853832442067,0,1,170.0
15,-0.5721925133689839,3,2,270.0
16,-0.5598930481283422,3,1,230.0
17,-0.5663101604278075,7,0,260.0
18,-0.5540106951871657,2,0,220.0
19,-0.5600713012477718,0,1,180.0
20,-0.5602495543672015,6,0,60.0
21,-0.5659536541889483,4,0,60.0
22,-0.5181818181818182,5,0,90.0
23,-0.5536541889483066,6,3,90.0
24,-0.5543672014260249,4,0,140.0
25,-0.5540106951871657,5,1,80.0
26,-0.5778966131907308,3,0,120.0
27,-0.5716577540106952,5,1,70.0
28,-0.5721925133689839,6,0,110.0
29,-0.5834224598930481,4,3,150.0
30,-0.5481283422459893,7,1,100.0
31,-0.5541889483065954,3,2,50.0
32,-0.5481283422459893,1,0,190.0
33,-0.5893048128342245,5,3,120.0
34,-0.5775401069518716,5,3,130.0
35,-0.5830659536541889,5,3,120.0
36,-0.5894830659536542,5,3,50.0
37,-0.6010695187165775,1,3,50.0
38,-0.5828877005347594,1,3,70.0
39,-0.5721925133689839,1,2,80.0
