Index,Score,bootstrap,max_features,n_estimators
0,0.9093333333333333,True,7,70
1,0.901,True,7,75
2,0.9013333333333333,True,7,81
3,0.909,True,7,87
4,0.909,True,7,92
5,0.9256666666666667,True,7,98
6,0.9093333333333333,True,7,104
7,0.8926666666666666,True,7,110
8,0.901,True,7,115
9,0.9013333333333333,True,7,121
10,0.9013333333333333,True,7,127
11,0.9093333333333333,True,7,132
12,0.9006666666666667,True,7,138
13,0.901,True,7,144
14,0.909,True,7,150
15,0.9013333333333333,True,9,70
16,0.9013333333333333,True,9,75
17,0.9013333333333332,True,9,81
18,0.8926666666666666,True,9,87
19,0.893,True,9,92
20,0.9013333333333332,True,9,98
21,0.9176666666666666,True,9,104
22,0.9093333333333333,True,9,110
23,0.9013333333333332,True,9,115
24,0.901,True,9,121
25,0.9013333333333333,True,9,127
26,0.893,True,9,132
27,0.9173333333333333,True,9,138
28,0.901,True,9,144
29,0.8846666666666667,True,9,150
30,0.8846666666666667,True,11,70
31,0.9096666666666666,True,11,75
32,0.9096666666666667,True,11,81
33,0.9013333333333332,True,11,87
34,0.9013333333333333,True,11,92
35,0.9096666666666667,True,11,98
36,0.893,True,11,104
37,0.893,True,11,110
38,0.9013333333333333,True,11,115
39,0.9093333333333333,True,11,121
40,0.893,True,11,127
41,0.9093333333333333,True,11,132
42,0.893,True,11,138
43,0.9013333333333333,True,11,144
44,0.9096666666666667,True,11,150
45,0.9096666666666667,True,13,70
46,0.9096666666666667,True,13,75
47,0.9096666666666667,True,13,81
48,0.9013333333333333,True,13,87
49,0.9176666666666666,True,13,92
50,0.9096666666666667,True,13,98
51,0.9176666666666666,True,13,104
52,0.893,True,13,110
53,0.9013333333333333,True,13,115
54,0.9013333333333333,True,13,121
55,0.893,True,13,127
56,0.893,True,13,132
57,0.9096666666666667,True,13,138
58,0.893,True,13,144
59,0.9096666666666666,True,13,150
60,0.9013333333333333,True,15,70
61,0.9013333333333333,True,15,75
62,0.9179999999999999,True,15,81
63,0.9013333333333333,True,15,87
64,0.9013333333333333,True,15,92
65,0.9179999999999999,True,15,98
66,0.9096666666666666,True,15,104
67,0.9013333333333333,True,15,110
68,0.9179999999999999,True,15,115
69,0.9013333333333333,True,15,121
70,0.9096666666666667,True,15,127
71,0.9013333333333333,True,15,132
72,0.9013333333333333,True,15,138
73,0.9179999999999999,True,15,144
74,0.9096666666666667,True,15,150
