Index,Score,Std Dev,bootstrap,max_features,min_samples_split,n_estimators
0,0.9785560960020204,0.0010988967526759275,False,4,2,550
1,0.9784583368745219,0.0008511858750973039,False,4,2,700
2,0.9784766786169131,0.0011223829321654489,False,4,2,850
3,0.9760631205189432,0.001390650000716226,False,7,2,550
4,0.9761339057026097,0.0015891348003185097,False,7,2,700
5,0.9762426600207377,0.0013527156305863782,False,7,2,850
6,0.9730298736334646,0.0031032503200597327,False,10,2,550
7,0.9732440683010856,0.0028699413093174996,False,10,2,700
8,0.9732812080670504,0.0028698596621363312,False,10,2,850
9,0.9688710500279111,0.004270458134989396,False,13,2,550
10,0.9692609064366978,0.004496847587348425,False,13,2,700
11,0.9689132984716607,0.004272574722736499,False,13,2,850
