Index,C,Score,gamma
0,0.01,0.5599999999999999,0.01
1,0.01,0.5519999999999999,0.1
2,0.01,0.64,1.0
3,0.01,0.64,10.0
4,0.01,0.64,100.0
5,0.01,0.488,1000.0
6,0.1,0.5599999999999999,0.01
7,0.1,0.7243333333333334,0.1
8,0.1,0.64,1.0
9,0.1,0.64,10.0
10,0.1,0.64,100.0
11,0.1,0.488,1000.0
12,1.0,0.674,0.01
13,1.0,0.8206666666666667,0.1
14,1.0,0.8206666666666667,1.0
15,1.0,0.64,10.0
16,1.0,0.64,100.0
17,1.0,0.488,1000.0
18,10.0,0.6993333333333334,0.01
19,10.0,0.836,0.1
20,10.0,0.845,1.0
21,10.0,0.64,10.0
22,10.0,0.64,100.0
23,10.0,0.488,1000.0
24,100.0,0.8366666666666667,0.01
25,100.0,0.9016666666666666,0.1
26,100.0,0.845,1.0
27,100.0,0.64,10.0
28,100.0,0.64,100.0
29,100.0,0.488,1000.0
30,1000.0,0.8283333333333334,0.01
31,1000.0,0.8776666666666667,0.1
32,1000.0,0.845,1.0
33,1000.0,0.64,10.0
34,1000.0,0.64,100.0
35,1000.0,0.488,1000.0
